,Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year
493,Mercedes,A Class,2000,Hatchback,230000.0,1600.0,Petrol,Automatic,2199.0,22,10454.545454545454
494,BMW,3 Series,2006,Sedan,210000.0,3000.0,Diesel,Manual,2500.0,16,13125.0
495,Opel,Astra,2012,Universal,189000.0,1300.0,Diesel,Manual,6000.0,10,18900.0
496,Toyota,Auris,2015,Universal,104000.0,1800.0,Hybrid,Automatic,10000.0,7,14857.142857142857
497,Toyota,Prius,2008,Hatchback,259000.0,1500.0,Hybrid,Automatic,6000.0,14,18500.0
498,Mazda,626,2001,Hatchback,270000.0,1800.0,Petrol,Manual,2700.0,21,12857.142857142857
499,Skoda,Rapid,2017,Universal,92500.0,1400.0,Diesel,Manual,7700.0,5,18500.0
500,Opel,Zafira,2006,Minivan,186713.0,1800.0,Petrol,Manual,5200.0,16,11669.5625
501,Opel,Zafira,2006,Minivan,60000.0,1800.0,Metan/Propan,Automatic,4900.0,16,3750.0
502,BMW,3 Series,2008,Sedan,212000.0,2000.0,Petrol,Manual,6690.0,14,15142.857142857143
503,Hyundai,Getz,2007,Hatchback,175000.0,1500.0,Diesel,Manual,3900.0,15,11666.666666666666
504,Skoda,Superb,2015,Sedan,196000.0,2000.0,Diesel,Automatic,15690.0,7,28000.0
505,Dacia,Lodgy,2012,Universal,179000.0,1500.0,Diesel,Manual,6900.0,10,17900.0
506,Volkswagen,Passat,2012,Sedan,183000.0,1400.0,Metan/Propan,Automatic,10200.0,10,18300.0
507,BMW,5 Series,2006,Sedan,243000.0,2500.0,Petrol,Automatic,7990.0,16,15187.5
508,Renault,Grand Scenic,2015,Universal,162000.0,1500.0,Diesel,Automatic,8790.0,7,23142.85714285714
509,Skoda,Octavia,2016,Hatchback,200000.0,1400.0,Petrol,Manual,9000.0,6,33333.333333333336
510,Porsche,Cayenne,2016,SUV,155000.0,3000.0,Plug-in Hybrid,Automatic,48000.0,6,25833.33333333333
